
-47.238620479, 424.8128986
-47.1219612338, 426.508865086
-47.0577217156, 427.235694118
-46.9807195382, 427.848700183
-46.9239845525, 428.352605571
-46.8789829983, 428.823907791
-46.8741121084, 429.284465438
-46.9174000617, 429.703531448
-47.0081549206, 430.072081937
-47.0982378703, 430.478715137
-47.1604981824, 430.830758341
-47.2254821051, 431.206698902
-47.2697249062, 431.533696896
-47.3062509179, 431.887078208
-47.3405647805, 432.240003163
-47.3649477665, 432.64483495
-47.3697095338, 433.083232146
-47.3642889721, 433.469291347
-47.3402097536, 433.812709624
-47.295517442, 434.168412379
-47.2059637609, 434.482728375
-47.0785418495, 434.802731101
-46.9301179801, 435.127964614
-46.7955139868, 435.455975101
-46.6558859154, 435.829216364
-46.524101922, 436.264317535
-46.3896351348, 436.75635639
-46.2519267665, 437.182428619
-46.1309169388, 437.570765362
-45.9983709009, 437.933795554
-45.8497169941, 438.252531195
-45.6988173806, 438.594905795
-45.5472130955, 438.90378569
-45.4048721629, 439.209396984
-45.2580723278, 439.553476041
-45.1029161862, 439.894714555
-44.9330302212, 440.176015828
-44.7754782414, 440.403637428
-44.6357216753, 440.64452874
-44.4945943935, 440.918247319
-44.3571738299, 441.189602272
-44.229149907, 441.412107768
-44.0828230212, 441.609289103
-43.9363442825, 441.773526579
-43.7990875168, 441.995035787
-43.6414055969, 442.189834931
-43.4862397125, 442.325633671
-43.3355153062, 442.455923333
-43.1984155389, 442.60514335
-43.0863746732, 442.763009461
-42.9762589705, 442.919561027
-42.8776187689, 443.101547371
-42.8118029403, 443.377305518
-42.7628472664, 443.64963581
-42.7228865921, 443.924452166
-42.67633588, 444.229281016
-42.6288785893, 444.547288341
-42.5946806861, 444.877553734
-42.5545922703, 445.336547916
-42.5220715467, 445.746246626
-42.4794472573, 446.120729057
-42.4364383918, 446.410652295
-42.4166109988, 446.693529142
-42.4219917889, 447.034634189
-42.4220314313, 447.313440174
-42.4276167534, 447.590109454
-42.4698904492, 447.857706402
-42.5281252141, 448.179678948
-42.6083719132, 448.507661523
-42.704240856, 448.832722155
-42.8065683728, 449.097351312
-42.9206723026, 449.387117782
-43.0422764057, 449.743902443
-43.1537588507, 450.087350227
-43.2487985106, 450.540073924
-43.3357063854, 450.784508174
-43.4312014257, 451.003818433
-43.5306550382, 451.229804291
-43.6300690742, 451.314533777
-43.7311338448, 451.363589987
-43.8184805005, 451.383371631
-43.8963370731, 451.43498821
-43.9474283394, 451.443065141
-43.9904541068, 451.357664982
-44.0479853741, 451.249706955
-44.0996133649, 451.117000968
-44.1657511039, 450.976362247
-44.2485279663, 450.719813379
-44.3396872078, 450.429070863
-44.4385901566, 450.203777415
-44.5503205874, 450.16985406
-44.646487269, 450.255322313
-44.7251360598, 450.356446657
-44.7928729676, 450.456386491
-44.8559793466, 450.564607296
-44.9076234217, 450.635785248
-44.9606589141, 450.657705546
-45.0262436971, 450.731400404
-45.0794644216, 450.858201117
-45.1454642936, 450.866871346
-45.2037474538, 450.857252689
-45.2442891324, 450.836082331
-45.2928598869, 450.776300854
-45.3319266805, 450.732668972
-45.3610959966, 450.659844042
-45.4090510152, 450.568693647
-45.4525768259, 450.460730276
-45.4945179454, 450.347408957
-45.5322293098, 450.270502452
-45.5658878109, 450.15441491
-45.6263034625, 450.028504759
-45.6620562781, 449.910813352
-45.6948308373, 449.827655628
-45.7286753744, 449.724835721
-45.7714336284, 449.722778654
-45.7985030487, 449.725944035
-45.8468678529, 449.728713305
-45.8886602068, 449.75506587
-45.9229481884, 449.725413427
-45.9586492657, 449.657752967
-45.999487942, 449.617372543
-46.0494059582, 449.5761112
-46.1114454661, 449.579462183
-46.142479521, 449.629138033
-46.1761155308, 449.635912954
-46.2196964487, 449.608899619
-46.2728799083, 449.518483333
-46.3402168902, 449.493399162
-46.3617990727, 449.539977194
-46.3874436141, 449.64481533
-46.4079258349, 449.762118384
-46.4371748399, 449.814808392
-46.4919981375, 449.841283794
-46.5475957012, 449.847894026
-46.6087638506, 449.832551351
-46.6743271808, 449.780211122
-46.7428186074, 449.709342453
-46.8182695757, 449.634710472
-46.8841684559, 449.476146955
-46.9552712471, 449.313996294
-47.0352794067, 449.176252678
-47.1128426443, 449.017977789
-47.1923857629, 448.914763308
-47.2633923672, 448.873261279
-47.3180886283, 448.894073833
-47.3551364507, 449.127059108
-47.3874524422, 449.410274921
-47.416103006, 449.682096376
-47.4329879444, 449.885602392
-47.4471579412, 450.061074499
-47.4697737581, 450.216382877
-47.4842746667, 450.368312045
-47.4742720778, 450.408967766
-47.4706564345, 450.435060493
-47.473699332, 450.438906243
-47.4801002127, 450.44728811
-47.4806522132, 450.498138766
-47.4779074709, 450.625467312
-47.5010226873, 450.658294891
-47.5245535941, 450.666848634
-47.5573301153, 450.674101915
-47.5845795623, 450.747530018
-47.6114526269, 450.839906343
-47.642097689, 450.847309537
-47.6734729479, 450.995795876
-47.7081840588, 451.155585485
-47.7368008417, 451.393939455
-47.7470876168, 451.565270019
-47.7686571191, 451.841772509
-47.783662677, 452.176239357
-47.8962659107, 452.025185689
-47.9600603262, 451.958567532
-48.0177903203, 451.930894378
-48.0787609466, 451.949493282
-48.1205644739, 451.95857351
-48.1446635994, 452.155550394
-48.1594033712, 452.379219011
-48.157881745, 452.520439548
-48.1320939989, 452.831097983
-48.0826272263, 453.092414659
-48.0428162262, 453.292949927
-48.0234096767, 453.419332834
-48.0283662028, 453.524752142
-48.0317679469, 453.680554984
-48.0212214948, 453.914763883
-47.9973331109, 454.153888843
-47.9445909549, 454.397690419
